name,type,url
หมูกรอบผัดพริกแกง,Mild,https://food.mthai.com/app/uploads/2019/05/Stir-Fried-Crispy-Pork-with-Red-Curry-17.jpg
ปลาดุกย่าง,Mild,https://www.praram9kaiyangrestaurant.com/wp-content/uploads/2020/11/571cf10d6fb3f.jpg
หมึกนึ่งมะนาว,Mild,https://s.isanook.com/wo/0/ud/16/82537/82537-thumbnail.jpg
ข้าวขาหมู,Mild,https://www.deksomboon.com/thumb.html?w=900&h=450&src=media_center/recipe/2016/3/10/6214/recipe6214201603105181.jpg&type=auto
ยำมะม่วง,Mild,https://img.wongnai.com/p/1920x0/2021/04/24/6ed31d72fdd449b09ea8a2ab4842286f.jpg
ไก่ย่าง,Mild,https://s359.kapook.com/pagebuilder/ddc49bfb-3258-46b1-af1a-accb2ba2217b.jpg
ก๋วยเตี๋ยวคั่วไก่,Mild,https://img.wongnai.com/p/1920x0/2019/06/17/52f225b766a946d89edbf34c98620bba.jpg
หมูผัดขิง,Mild,https://img-global.cpcdn.com/recipes/569e8e02ba31e210/1200x630cq70/photo.jpg
ผัดพริกขิงหมูกรอบ,Mild,https://www.pholfoodmafia.com/wp-content/uploads/2020/05/4Stir-Fried-Pork-Belly-Crisp-with-Red-Curry-and-Salted-Egg.jpg
แกงขี้เหล็ก,Mild,https://img.wongnai.com/p/1920x0/2017/09/13/1cbbeb8ed6da4821a2163dcf02a2a5e3.jpg
ปอเปี๊ยะทอด,Mild,https://www.firstpridethailand.com/static/5_TH_SpringRolls-8c34086ed9b0ca47faa63a0482693b5c.webp
แกงคั่วใบ,Mild,https://img.wongnai.com/p/1920x0/2017/12/18/a80a482799374f9cbdee4522966b3819.jpg
ข้าวหน้าไก่,Mild,https://img.wongnai.com/p/1968x0/2020/03/02/40a10bf88538437298257bcd98870983.jpg
ปลาร้าทรงเครื่อง,Mild,https://pim.in.th/images/all-side-dish-fish/pickled-fish/pickled-fish-with-vegetable-in-coconut-milk-04.JPG
ยำถั่วพู,Mild,https://img.wongnai.com/p/1920x0/2020/01/27/a2f59088558847c2992d065670350349.jpg
ปลานึ่งมะนาว,Mild,https://img.kapook.com/u/2016/surauch/cook1/fish5.jpg
ผัดเผ็ดหมูป่า,Mild,https://img-global.cpcdn.com/recipes/3cce2b2affe655c7/680x482cq70/%E0%B8%A3%E0%B8%9B-%E0%B8%AB%E0%B8%A5%E0%B8%81-%E0%B8%82%E0%B8%AD%E0%B8%87-%E0%B8%AA%E0%B8%95%E0%B8%A3-%E0%B8%9C%E0%B8%94%E0%B9%80%E0%B8%9C%E0%B8%94%E0%B8%AB%E0%B8%A1%E0%B8%9B%E0%B8%B2-%E0%B8%AA%E0%B8%95%E0%B8%A3%E0%B9%80%E0%B8%94%E0%B8%94.jpg
แกงเหลือง,Mild,https://sou-dai.com/wp-content/uploads/2019/12/031219.3.jpg
ยำวุ้นเส้นเผ็ดน้อย,Mild,https://wa-mitrpholsugar-new4-new5.azurewebsites.net/wp-content/uploads/2021/12/nov21982-1-scaled.jpg
ผัดไทย,Mild,https://s359.kapook.com/pagebuilder/bfd70b7d-7fe7-4ffd-b252-f1cbd6a1c37d.jpg
แหนมเนือง,Mild,https://s359.kapook.com/pagebuilder/7885be2a-6a42-415c-aebd-08c3ba1aa1a9.jpg
ข้าวคลุกกะปิ,Mild,https://static.thairath.co.th/media/dFQROr7oWzulq5Fa4u0apV8IPPprHzzY9HirMUtZ5IbbkqXn0DyPkzdvtvGvxo9TcMy.jpg
ต้มจืดหมูสับ,Mild,https://www.bloggang.com/data/dangerous-aunt/picture/1299851858.jpg
ไก่ผัดเม็ดมะม่วงหิมพานต์,Mild,https://img.wongnai.com/p/1920x0/2021/02/07/7160220f629b4d9cb3cbc486b565ed93.jpg
ข้าวผัดน้ำพริกลงเรือ,Mild,https://www.ajinomoto.co.th/storage/photos/shares/Recipe/Menu/lot2-7/6172a15e6c931.jpg
หมูมะนาว,Mild,https://www.sgethai.com/wp-content/uploads/2022/06/18042024-mhoomanao-001.webp
กุ้งผัดพริกไทยดำ,Mild,https://img.wongnai.com/p/1968x0/2023/04/13/f23f3bd9346b4ac29ecf0f84a39f4795.jpg
ข้าวต้มปลา,Mild,https://www.thammculture.com/wp-content/uploads/2023/03/Untitled-402.jpg
หมูผัดซอส,Mild,https://www.cpbrandsite.com/contents/recipe/szna93pg5eawwev9uv2teuwjf6xkd8qmy5r0qoqw.jpg
ยำตะไคร้เผ็ดน้อย,Mild,https://www.gourmetandcuisine.com/Images/editor_upload/_editor20180615033843_original.jpg
แกงคั่วกลิ้งหมูเผ็ดน้อย,Mild,https://i.ytimg.com/vi/XO0nu2N_Tx4/sddefault.jpg
หมูหวาน,Mild,https://i.ytimg.com/vi/W0Ci8CVKQUQ/hq720.jpg?sqp=-oaymwEhCK4FEIIDSFryq4qpAxMIARUAAAAAGAElAADIQj0AgKJD&rs=AOn4CLAob692tYWCO5uKzVrZxNin5sIIAg
ข้าวมันปู,Mild,https://www.aroizabb.com/wp-content/uploads/2017/11/khao-pad-mun-poo-02.jpg
ยำหมูยอเผ็ดน้อย,Mild,https://i.pinimg.com/originals/a4/e3/7f/a4e37f64705848e454b4b423c3ff7871.jpg
